Comparison number,Winner ID,Loser ID,Is musician,
1,11,1,1,0,
2,2,72,1,0,
3,6,44,0,0,
4,7,28,0,0,
5,45,8,0,0,
6,52,12,1,0,
7,10,14,0,0,
8,21,17,0,0,
9,2,19,0,0,
10,18,82,1,0,
11,20,93,0,0,
12,23,18,0,0,
13,22,4,0,0,
14,24,15,0,0,
15,28,99,0,0,
16,17,27,0,0,
17,47,25,0,0,
18,29,86,0,0,
19,30,18,0,0,
20,1,31,0,0,
21,33,1,0,0,
22,33,1,0,0,
23,71,32,0,0,
24,36,25,0,0,
25,38,9,0,0,
26,100,39,0,0,
27,48,40,0,0,
28,55,41,0,0,
29,43,73,0,0,
30,62,44,0,0,
31,57,46,1,0,
32,47,4,1,0,
33,48,21,1,0,
34,49,52,1,0,
35,29,51,0,0,
36,24,58,1,0,
37,54,59,1,0,
38,60,70,1,0,
39,63,61,1,0,
40,64,4,1,0,
41,65,20,1,0,
42,67,63,1,0,
43,86,68,1,0,
44,69,67,1,0,
45,70,73,1,0,
46,84,71,1,0,
47,24,72,1,0,
48,73,25,1,0,
49,44,74,1,0,
50,75,87,1,0,
51,81,76,1,0,
52,77,96,1,0,
53,79,16,1,0,
54,81,79,1,0,
55,7,80,0,0,
56,82,100,1,0,
57,100,84,1,0,
58,77,78,0,0,
59,85,42,1,0,
60,83,55,0,0,
61,66,86,0,0,
62,94,88,0,0,
63,54,90,0,0,
64,91,57,0,0,
65,92,68,0,0,
66,41,93,0,0,
67,94,99,0,0,
68,21,87,1,0,
69,95,4,0,0,
70,28,96,1,0,
71,97,44,0,0,
72,61,98,1,0,
73,100,87,1,0,
74,72,99,0,0,
75,76,1,1,0,
76,39,3,1,0,
77,6,4,1,0,
78,18,2,0,0,
79,21,5,1,0,
80,36,6,0,0,
81,8,65,0,0,
82,9,80,0,0,
83,18,10,0,0,
84,78,11,0,0,
85,59,12,0,0,
86,75,13,0,0,
87,17,14,0,0,
88,85,15,0,0,
89,30,16,0,0,
90,19,72,1,0,
91,21,2,1,0,
92,37,24,1,0,
93,23,76,0,0,
94,59,25,0,0,
95,2,27,0,0,
96,28,67,0,0,
97,30,66,1,0,
98,31,51,1,0,
99,4,18,1,0,
100,28,33,1,0,
101,35,42,0,0,
102,36,87,0,0,
103,34,1,1,0,
104,23,44,0,0,
105,83,45,0,0,
106,53,46,0,0,
107,47,31,0,0,
108,45,48,0,0,
109,96,49,0,0,
110,65,50,0,0,
111,63,51,0,0,
112,79,53,0,0,
113,9,54,0,0,
114,55,43,0,0,
115,56,53,0,0,
116,58,98,0,0,
117,31,59,0,0,
118,60,46,0,0,
119,61,28,0,0,
120,62,10,0,0,
121,63,81,0,0,
122,18,65,0,0,
123,27,68,0,0,
124,70,21,0,0,
125,71,85,0,0,
126,69,46,0,0,
127,67,84,0,0,
128,74,100,0,0,
129,63,75,0,0,
130,73,66,0,0,
131,78,38,0,0,
132,12,76,0,0,
133,86,77,0,0,
134,79,41,0,0,
135,80,74,0,0,
136,81,12,0,0,
137,95,83,0,0,
138,85,88,0,0,
139,86,77,0,0,
140,56,87,0,0,
141,17,89,1,0,
142,70,91,1,0,
143,100,92,1,0,
144,37,93,0,0,
145,94,84,1,0,
146,26,95,1,0,
147,96,45,1,0,
148,97,73,1,0,
149,49,98,1,0,
150,99,67,1,0,
151,4,1,0,0,
152,28,2,0,0,
153,3,93,0,0,
154,5,13,0,0,
155,4,41,0,0,
156,27,6,0,0,
157,8,61,0,0,
158,10,35,0,0,
159,59,9,0,0,
160,11,31,0,0,
161,4,13,0,0,
162,68,12,0,0,
163,14,93,0,0,
164,38,17,0,0,
165,21,18,0,0,
166,19,70,0,0,
167,65,20,0,0,
168,21,90,0,0,
169,35,23,0,0,
170,24,26,0,0,
171,81,25,0,0,
172,94,38,1,0,
173,28,67,0,0,
174,84,29,0,0,
175,30,58,0,0,
176,31,63,0,0,
177,33,49,0,0,
178,58,32,1,0,
179,34,80,0,0,
180,8,36,0,0,
181,37,18,0,0,
182,38,86,0,0,
183,39,85,0,0,
184,79,40,0,0,
185,42,62,1,0,
186,99,43,1,0,
187,43,46,0,0,
188,91,47,0,0,
189,75,51,1,0,
190,86,53,1,0,
191,98,55,0,0,
192,56,71,0,0,
193,57,99,0,0,
194,46,54,1,0,
195,59,24,1,0,
196,6,58,0,0,
197,61,45,0,0,
198,12,63,1,0,
199,65,70,0,0,
200,24,66,1,0,
201,7,69,1,0,
202,72,1,1,0,
203,7,73,1,0,
204,76,58,0,0,
205,82,75,0,0,
206,88,77,0,0,
207,5,79,0,0,
208,80,73,0,0,
209,80,81,0,0,
210,78,58,0,0,
211,96,82,0,0,
212,84,71,0,0,
213,83,36,0,0,
214,73,85,0,0,
215,73,85,0,0,
216,86,18,0,0,
217,95,87,0,0,
218,89,19,0,0,
219,88,49,0,0,
220,16,90,0,0,
221,92,80,0,0,
222,5,91,0,0,
223,96,93,0,0,
224,6,27,1,0,
225,98,13,1,0,
226,97,91,1,0,
227,37,1,1,0,
228,6,100,1,0,
229,65,2,1,0,
230,58,3,1,0,
231,60,38,1,0,
232,5,30,1,0,
233,4,55,1,0,
234,39,9,0,0,
235,10,76,1,0,
236,76,12,1,0,
237,11,41,0,0,
238,56,13,1,0,
239,72,15,1,0,
240,17,47,0,0,
241,18,28,0,0,
242,51,19,0,0,
243,20,36,0,0,
244,21,31,0,0,
245,22,9,0,0,
246,23,32,0,0,
247,24,74,0,0,
248,25,90,0,0,
249,27,23,0,0,
250,28,36,0,0,
251,29,2,0,0,
252,64,32,0,0,
253,33,97,0,0,
254,41,36,0,0,
255,44,37,0,0,
256,24,38,1,0,
257,39,47,0,0,
258,42,25,1,0,
259,44,54,1,0,
260,99,43,0,0,
261,46,70,1,0,
262,96,48,1,0,
263,46,45,0,0,
264,75,49,1,0,
265,96,50,1,0,
266,52,4,1,0,
267,51,47,0,0,
268,29,53,1,0,
269,55,10,1,0,
270,56,94,1,0,
271,57,93,1,0,
272,96,59,1,0,
273,60,47,1,0,
274,87,58,0,0,
275,90,62,0,0,
276,42,63,0,0,
277,20,66,1,0,
278,62,67,1,0,
279,43,69,1,0,
280,43,69,1,0,
281,43,69,1,0,
282,68,86,0,0,
283,49,71,1,0,
284,42,73,1,0,
285,74,42,1,0,
286,85,72,0,0,
287,83,76,0,0,
288,23,78,0,0,
289,80,16,0,0,
290,75,36,1,0,
291,82,57,1,0,
292,81,7,0,0,
293,83,4,1,0,
294,25,85,1,0,
295,17,84,0,0,
296,89,86,1,0,
297,88,31,1,0,
298,90,30,0,0,
299,92,36,1,0,
300,45,93,1,0,
301,79,94,1,0,
302,95,15,1,0,
303,96,35,1,0,
304,97,85,1,0,
305,98,5,1,0,
306,59,99,1,0,
307,17,100,1,0,
308,1,87,1,0,
309,47,2,1,0,
310,3,87,1,0,
311,4,51,1,0,
312,77,5,1,0,
313,94,6,1,0,
314,21,7,1,0,
315,8,25,1,0,
316,63,9,1,0,
317,10,93,1,0,
318,14,11,1,0,
319,37,12,1,0,
320,89,13,1,0,
321,56,14,1,0,
322,22,15,1,0,
323,36,16,1,0,
324,75,17,1,0,
325,99,18,1,0,
326,31,19,1,0,
327,45,20,1,0,
328,41,21,1,0,
329,22,48,1,0,
330,23,9,1,0,
331,77,24,1,0,
332,70,25,1,0,
333,85,26,1,0,
334,27,68,1,0,
335,28,22,1,0,
336,47,29,1,0,
337,30,60,1,0,
338,31,83,1,0,
339,27,32,1,0,
340,33,29,1,0,
341,21,34,1,0,
342,7,35,1,0,
343,69,36,1,0,
344,39,37,1,0,
345,38,2,1,0,
346,39,85,1,0,
347,40,5,1,0,
348,41,8,1,0,
349,42,28,1,0,
350,92,43,1,0,
351,84,44,1,0,
352,36,46,1,0,
353,88,47,1,0,
354,35,45,0,0,
355,88,48,1,0,
356,50,37,1,0,
357,51,31,1,0,
358,73,49,0,0,
359,52,7,1,0,
360,65,54,1,0,
361,68,55,1,0,
362,46,56,1,0,
363,67,57,1,0,
364,58,5,1,0,
365,30,96,0,0,
366,82,59,1,0,
367,61,11,0,0,
368,61,26,1,0,
369,64,34,1,0,
370,22,65,1,0,
371,81,60,0,0,
372,66,98,1,0,
373,68,40,1,0,
374,69,8,1,0,
375,70,83,1,0,
376,77,71,1,0,
377,72,48,1,0,
378,74,30,1,0,
379,45,75,1,0,
380,76,60,1,0,
381,105,78,1,0,
382,6,79,1,0,
383,77,81,1,0,
384,80,98,1,0,
385,20,81,1,0,
386,82,45,1,0,
387,86,41,1,0,
388,84,119,1,0,
389,89,104,1,0,
390,88,48,1,0,
391,90,10,1,0,
392,113,91,1,0,
393,92,17,1,0,
394,120,89,1,0,
395,94,3,1,0,
396,83,95,1,0,
397,96,10,1,0,
398,97,20,1,0,
399,7,98,1,0,
400,35,99,1,0,
401,100,92,1,0,
402,117,114,1,0,
403,113,3,1,0,
404,19,3,1,0,
405,19,4,1,0,
406,80,5,1,0,
407,6,3,1,0,
408,7,30,1,0,
409,76,8,1,0,
410,6,84,1,0,
411,112,83,1,0,
412,11,10,1,0,
413,111,29,1,0,
414,100,118,1,0,
415,41,14,1,0,
416,114,14,1,0,
417,109,80,1,0,
418,81,17,1,0,
419,38,18,1,0,
420,115,19,1,0,
421,20,82,1,0,
422,21,27,1,0,
423,22,26,1,0,
424,23,41,1,0,
425,51,116,0,0,
426,117,26,0,0,
427,27,76,0,0,
428,28,79,0,0,
429,57,29,0,0,
430,86,30,0,0,
431,115,101,1,0,
432,33,77,1,0,
433,34,48,1,0,
434,35,100,1,0,
435,119,108,1,0,
436,50,37,1,0,
437,101,38,1,0,
438,39,4,1,0,
439,119,41,1,0,
440,109,42,1,0,
441,43,73,1,0,
442,45,20,1,0,
443,10,65,1,0,
444,47,117,1,0,
445,50,112,0,0,
446,31,89,0,0,
447,41,52,0,0,
448,51,106,0,0,
449,110,48,0,0,
450,17,55,0,0,
451,56,84,0,0,
452,57,103,0,0,
453,102,37,0,0,
454,61,23,0,0,
455,30,62,0,0,
456,104,60,1,0,
457,59,18,0,0,
458,31,63,0,0,
459,105,5,0,0,
460,100,68,0,0,
461,78,64,0,0,
462,65,31,1,0,
463,91,72,0,0,
464,5,48,1,0,
465,107,118,1,0,
466,76,80,1,0,
467,51,74,0,0,
468,77,41,1,0,
469,10,75,1,0,
470,80,47,1,0,
471,83,81,0,0,
472,119,84,0,0,
473,76,104,0,0,
474,119,81,0,0,
475,88,70,0,0,
476,113,90,0,0,
477,50,89,0,0,
478,17,91,0,0,
479,90,86,0,0,
480,94,98,0,0,
481,95,61,0,0,
482,96,59,0,0,
483,92,97,1,0,
484,98,101,0,0,
485,94,99,1,0,
486,117,40,0,0,
487,60,4,1,0,
488,5,118,1,0,
489,6,24,1,0,
490,112,62,0,0,
491,4,10,0,0,
